path,label,label_id,speaker_id,language,generator,generator_model,source_dataset,microphone_type,recording_environment,codec,sample_rate,duration
/home/jyno/Projects/Garaj/datasets/spoof/english/edge_english_edge_ava_01_sample_01.wav,spoof,0,tts_edge_ava_01,english,Microsoft EdgeTTS,AvaNeural,Documented_TTS_Synthesizer,synthetic_stream,digital_synthesis,pcm_s16le,16000,6.144
/home/jyno/Projects/Garaj/datasets/spoof/english/edge_english_edge_ava_01_sample_02.wav,spoof,0,tts_edge_ava_01,english,Microsoft EdgeTTS,AvaNeural,Documented_TTS_Synthesizer,synthetic_stream,digital_synthesis,pcm_s16le,16000,5.832
/home/jyno/Projects/Garaj/datasets/spoof/english/edge_english_edge_ava_01_sample_03.wav,spoof,0,tts_edge_ava_01,english,Microsoft EdgeTTS,AvaNeural,Documented_TTS_Synthesizer,synthetic_stream,digital_synthesis,pcm_s16le,16000,5.688
/home/jyno/Projects/Garaj/datasets/spoof/english/edge_english_edge_ava_01_sample_04.wav,spoof,0,tts_edge_ava_01,english,Microsoft EdgeTTS,AvaNeural,Documented_TTS_Synthesizer,synthetic_stream,digital_synthesis,pcm_s16le,16000,4.824
/home/jyno/Projects/Garaj/datasets/spoof/english/edge_english_edge_ava_01_sample_05.wav,spoof,0,tts_edge_ava_01,english,Microsoft EdgeTTS,AvaNeural,Documented_TTS_Synthesizer,synthetic_stream,digital_synthesis,pcm_s16le,16000,5.928
/home/jyno/Projects/Garaj/datasets/spoof/english/edge_english_edge_chris_02_sample_01.wav,spoof,0,tts_edge_chris_02,english,Microsoft EdgeTTS,ChristopherNeural,Documented_TTS_Synthesizer,synthetic_stream,digital_synthesis,pcm_s16le,16000,6.792
/home/jyno/Projects/Garaj/datasets/spoof/english/edge_english_edge_chris_02_sample_02.wav,spoof,0,tts_edge_chris_02,english,Microsoft EdgeTTS,ChristopherNeural,Documented_TTS_Synthesizer,synthetic_stream,digital_synthesis,pcm_s16le,16000,6.288
/home/jyno/Projects/Garaj/datasets/spoof/english/edge_english_edge_chris_02_sample_03.wav,spoof,0,tts_edge_chris_02,english,Microsoft EdgeTTS,ChristopherNeural,Documented_TTS_Synthesizer,synthetic_stream,digital_synthesis,pcm_s16le,16000,5.712
/home/jyno/Projects/Garaj/datasets/spoof/english/edge_english_edge_chris_02_sample_04.wav,spoof,0,tts_edge_chris_02,english,Microsoft EdgeTTS,ChristopherNeural,Documented_TTS_Synthesizer,synthetic_stream,digital_synthesis,pcm_s16le,16000,5.28
/home/jyno/Projects/Garaj/datasets/spoof/english/edge_english_edge_chris_02_sample_05.wav,spoof,0,tts_edge_chris_02,english,Microsoft EdgeTTS,ChristopherNeural,Documented_TTS_Synthesizer,synthetic_stream,digital_synthesis,pcm_s16le,16000,6.456
/home/jyno/Projects/Garaj/datasets/spoof/english/edge_english_edge_neerja_03_sample_01.wav,spoof,0,tts_edge_neerja_03,english,Microsoft EdgeTTS,NeerjaNeural,Documented_TTS_Synthesizer,synthetic_stream,digital_synthesis,pcm_s16le,16000,7.416
